InstructorID,FirstName,LastName,Department,Rank,Email
I0001,جابر,آل محمد بن علي بن جماز,كلية الهندسة,محاضر,nzyh63@example.net
I0002,ريم,آل بن ظافر,كلية الصيدلة,أستاذ,al-sfwnbnn@example.net
I0003,ودود,الخرافي,كلية الهندسة,أستاذ,nsht57@example.org
I0004,أسيل,المهيدب,كلية الهندسة,محاضر,rfyqal-swd@example.org
I0005,مفيد,المهيدب,كلية التربية,أستاذ,mfydlmshwl@example.org
I0006,نوال,الدباغ,كلية الزراعة,أستاذ مساعد,pal-sltn@example.com
I0007,فرات,حنبولي,كلية الزراعة,أستاذ مساعد,hndbn-ldn@example.net
I0008,راني,آل قصير,كلية التربية,أستاذ مساعد,al-qsyrdwy@example.com
I0009,ظافر,آل علي,كلية الصيدلة,محاضر,njyal-rfy@example.org
I0010,خضر,آل عطفة,كلية التربية,أستاذ,sltn39@example.net
I0011,روفيدا,آل قصير,كلية التربية,أستاذ,khfq07@example.org
I0012,عبد الباري,آل قصير,كلية الصيدلة,أستاذ,xal-jfr@example.com
I0013,هزار,كانو,كلية الصيدلة,محاضر,al-swdshd@example.net
I0014,فراس,آل الشيخ,كلية الزراعة,أستاذ,al-lshykhrfyq@example.net
I0015,عربي,العليان,كلية التربية,محاضر,olhjr@example.net
I0016,توفيق,آل خضير,كلية الزراعة,أستاذ,jal-mqt@example.org
I0017,يسري,آل صفوان,كلية الزراعة,أستاذ,fal-jfr@example.net
I0018,جلنار,آل جعفر,كلية الزراعة,أستاذ مساعد,wfal-sfwn@example.org
I0019,سيّد,آل عايض,كلية الصيدلة,محاضر,smlshy@example.net
I0020,كسّاب,الراشد,كلية الهندسة,محاضر,kswb13@example.net
I0021,وفاء,آل بن لافي,كلية الصيدلة,أستاذ مساعد,fal-swd@example.net
I0022,عبد الخالق,آل محمد بن علي بن جماز,كلية الصيدلة,أستاذ مساعد,mutzal-bn-zfr@example.com
I0023,دارين,بن لادن,كلية التربية,أستاذ مساعد,oljbr@example.org
I0024,سالم,الجابر,كلية الصيدلة,أستاذ,ljlnhfyz@example.org
I0025,عتيق,آل حسين,كلية الزراعة,أستاذ مساعد,al-khdyrjswr@example.net
I0026,خطيب,آل رفيع,كلية الزراعة,محاضر,al-mhmd-bn-ly-bn-jmzsdh@example.net
I0027,مهران,العقيل,كلية الصيدلة,محاضر,hsyn18@example.org
I0028,راما,الحكير,كلية الهندسة,أستاذ مساعد,al-qsyrtyq@example.net
I0029,راني,الراشد,كلية الصيدلة,أستاذ,al-lshykhsdr-ldwyn@example.org
I0030,هاني,العجلان,كلية التربية,أستاذ مساعد,al-mhmd-bn-ly-bn-jmzzky@example.net
I0031,صهيب,آل قصير,كلية الزراعة,أستاذ,gal-sltn@example.org
I0032,خلوصي,بن لادن,كلية الصيدلة,أستاذ,wsfbw-dwwd@example.com
I0033,فخر,آل العسكري,كلية التربية,أستاذ مساعد,fsylnsry@example.com
I0034,مُتولي,شربتلي,كلية الصيدلة,أستاذ مساعد,hjrtyw@example.org
I0035,سامر,آل علي,كلية الزراعة,محاضر,md15@example.net
I0036,عمرو,آل رفيع,كلية الزراعة,محاضر,muslh15@example.com
I0037,ضاحك,آل العسكري,كلية الزراعة,أستاذ,al-bn-lfybd-lqdwws@example.com
I0038,مقداد,الجابر,كلية الصيدلة,أستاذ,t63@example.org
I0039,لبيب,آل صفوان,كلية الزراعة,أستاذ,shkyb60@example.org
I0040,ياسمين,الجفالي,كلية الزراعة,محاضر,shml01@example.net
I0041,نظام,آل جعفر,كلية الصيدلة,أستاذ,mhnkhlwsy@example.com
I0042,ريان,بن لادن,كلية الزراعة,أستاذ,plqyl@example.org
I0043,راوي,الحجار,كلية الصيدلة,أستاذ,vldbg@example.org
I0044,شاطر,المهنا,كلية الزراعة,أستاذ مساعد,fywdllyn@example.net
I0045,كمال,شربتلي,كلية الصيدلة,أستاذ مساعد,zbw-dwwd@example.org
I0046,أحلام,آل بن ظافر,كلية الصيدلة,أستاذ مساعد,al-lskrynm@example.net
I0047,مادلين,فصيل,كلية الزراعة,محاضر,al-jfrshkry@example.com
I0048,همام,آل مقطة,كلية الصيدلة,أستاذ,al-lyql@example.com
I0049,اصيل,الراشد,كلية التربية,محاضر,dny06@example.com
I0050,روبا,فصيل,كلية الصيدلة,محاضر,mlkal-bn-zfr@example.net
I0051,مُعتز,شربتلي,كلية الهندسة,أستاذ مساعد,wsm50@example.net
I0052,صائب,آل سلطان,كلية التربية,محاضر,fdal-bn-lfy@example.net
I0053,نضال,العليان,كلية التربية,أستاذ,wd86@example.com
I0054,رخاء,أبا الخيل,كلية الصيدلة,أستاذ مساعد,qlal-khdyr@example.org
I0055,مهدي,آل عواض,كلية التربية,أستاذ,al-ydysr@example.org
I0056,زكي,المغاولة,كلية الصيدلة,أستاذ,rby30@example.com
I0057,فرزدق,المهنا,كلية الزراعة,أستاذ,lmhjr@example.net
I0058,مقدام,المهيدب,كلية الهندسة,أستاذ مساعد,al-wdqnt@example.org
I0059,صبور,العجلان,كلية الصيدلة,محاضر,hshm20@example.com
I0060,فخر الدّين,حجار,كلية التربية,محاضر,rshdbn-ldn@example.org
I0061,صابر,آل حسين,كلية الصيدلة,أستاذ مساعد,al-wdqsyd@example.net
I0062,كاشف,المشاولة,كلية الزراعة,أستاذ مساعد,bw-dwwdmkwy@example.org
I0063,مياس,آل عايض,كلية الزراعة,أستاذ,hsynal-mqt@example.net
I0064,زاكي,المشاولة,كلية التربية,أستاذ,glkhrfy@example.net
I0065,فاضل,الحكير,كلية الزراعة,أستاذ,gswn16@example.org
I0066,هدى,المهيدب,كلية الصيدلة,محاضر,mzhr03@example.com
I0067,ساطع,آل الشيخ,كلية الزراعة,أستاذ,sltn85@example.org
I0068,عاتب,الجفالي,كلية الزراعة,أستاذ,bdlkhrfy@example.org
I0069,نجوان,آل مقطة,كلية الزراعة,أستاذ,al-bn-lfymwywd@example.org
I0070,تقي,آل مقطة,كلية الزراعة,أستاذ مساعد,tyd58@example.org
I0071,مقداد,آل سلطان,كلية الزراعة,محاضر,bqshnndl@example.com
I0072,بنفسج,كانو,كلية الهندسة,محاضر,kmllrshd@example.com
I0073,مُعتز,كانو,كلية الزراعة,محاضر,slymnlmshwl@example.com
I0074,عطاء,آل حسين,كلية الصيدلة,أستاذ مساعد,jll-ldwyn38@example.net
I0075,صالح,الراشد,كلية الزراعة,محاضر,bd-lbqy40@example.com
I0076,جيلان,آل الشيخ,كلية الصيدلة,أستاذ,mnswrljfly@example.net
I0077,موفّق,حجار,كلية الصيدلة,محاضر,musffsyl@example.org
I0078,مصطفى,آل عطفة,كلية الصيدلة,أستاذ,lhjrjwn@example.org
I0079,ريتاج,بقشان,كلية الصيدلة,محاضر,tbbn-ldn@example.net
I0080,محسن,آل عايض,كلية التربية,محاضر,hjral-sfwn@example.org
I0081,عدنان,العليان,كلية الزراعة,أستاذ مساعد,mrfal-wd@example.org
I0082,كليم,آل بن ظافر,كلية الصيدلة,أستاذ,al-hsynfwzy@example.org
I0083,سيّد,آل خضير,كلية الزراعة,أستاذ,hjrrytl@example.org
I0084,غوى,آل حسين,كلية الهندسة,أستاذ مساعد,shfal-myd@example.net
I0085,أفراح,بن لادن,كلية الزراعة,أستاذ مساعد,zglwl14@example.org
I0086,رشدي,الجابر,كلية التربية,أستاذ مساعد,thmn83@example.org
I0087,رابح,مهنا,كلية الصيدلة,أستاذ,yldbg@example.net
I0088,فوّاز,آل الشيخ,كلية الهندسة,محاضر,bal-bn-zfr@example.com
I0089,لهفان,آل بن لافي,كلية الزراعة,أستاذ,al-swdhfz@example.org
I0090,نعمان,آل بن ظافر,كلية التربية,أستاذ,syd03@example.org
I0091,منيف,آل العسكري,كلية الهندسة,محاضر,knwnwr-lhqw@example.com
I0092,حسام,المهيدب,كلية التربية,أستاذ مساعد,ktwmlhjr@example.org
I0093,ناردين,العقيل,كلية الزراعة,أستاذ مساعد,oal-mqt@example.com
I0094,يقين,آل سعود,كلية الهندسة,أستاذ,al-lskrymursy@example.com
I0095,هايدي,أبا الخيل,كلية الهندسة,أستاذ مساعد,slh70@example.org
I0096,عبد الغفور,حنبولي,كلية التربية,أستاذ مساعد,shjr@example.net
I0097,ريتال,آل بن ظافر,كلية الصيدلة,محاضر,bd-lrwhmn84@example.net
I0098,شامخ,الجفالي,كلية التربية,أستاذ مساعد,bshrljln@example.org
I0099,رابح,فصيل,كلية الصيدلة,أستاذ مساعد,flhkyr@example.com
I0100,حمدان,المغاولة,كلية الهندسة,أستاذ مساعد,shwn64@example.net
I0101,كامل,الحجار,كلية التربية,محاضر,al-bn-lfytmr@example.com
I0102,نوف,الخرافي,كلية الصيدلة,أستاذ,smlqyl@example.net
I0103,زكريا,مهنا,كلية الزراعة,محاضر,cljfly@example.net
I0104,عتيق,الدباغ,كلية التربية,محاضر,lythal-khdyr@example.com
