StudentID,FirstName,LastName,DateOfBirth,Major,Address,Phone
20250001,عتاب,الخرافي,2003-11-28,كلية الزراعة,القبة,0923659313
20250002,ظاهر,المشاولة,1999-10-09,كلية الزراعة,البيضاء,0915309664
20250003,جواهر,المهنا,2000-08-16,كلية التربية,المرج,0921835470
20250004,ريمان,آل العسكري,1999-10-20,كلية الزراعة,طرابلس,0914284325
20250005,ابتهال,آل مقطة,2007-09-21,كلية الزراعة,بنغازي,0918289007
20250006,سهل,آل العسكري,2003-01-07,كلية الهندسة,البيضاء,0912415167
20250007,صنديد,المهنا,2007-10-07,كلية التربية,بنغازي,0921970457
20250008,موسى,حنبولي,2005-01-28,كلية الزراعة,طرابلس,0928100783
20250009,نافذ,حجار,2004-01-22,كلية التربية,بنغازي,0918548894
20250010,قائد,كانو,2001-05-12,كلية الصيدلة,المرج,0924254155
20250011,صامد,آل مقطة,2001-07-20,كلية الصيدلة,البيضاء,0913177690
20250012,لارا,العقيل,2001-03-08,كلية الصيدلة,طرابلس,0915574557
20250013,حازم,العليان,2005-02-01,كلية التربية,المرج,0929882316
20250014,ظافر,بن لادن,2001-06-08,كلية التربية,المرج,0923688154
20250015,راضي,الحكير,2006-05-23,كلية الصيدلة,القبة,0916721287
20250016,حازم,الحكير,2001-11-02,كلية الصيدلة,طرابلس,0911414846
20250017,عبد اللطيف,كانو,2001-02-11,كلية التربية,طرابلس,0918940409
20250018,هلالي,الدباغ,2003-03-09,كلية التربية,البيضاء,0922988110
20250019,عبد الشّكور,آل صفوان,2005-01-11,كلية التربية,طرابلس,0928635579
20250020,دعاء,مهنا,2001-01-16,كلية الزراعة,البيضاء,0928689399
20250021,ريفال,آل رفيع,2005-03-17,كلية الصيدلة,طرابلس,0924206528
20250022,عاتب,آل عواض,2005-12-26,كلية الزراعة,البيضاء,0925672624
20250023,زكي,آل بن لافي,2007-10-18,كلية الهندسة,البيضاء,0911133505
20250024,طائل,شربتلي,2004-08-17,كلية الهندسة,البيضاء,0919634845
20250025,بلند,آل خضير,2000-05-07,كلية الصيدلة,المرج,0918469812
20250026,تمام,المهيدب,2003-10-15,كلية الزراعة,القبة,0922630142
20250027,رامي,آل قصير,2005-04-04,كلية الزراعة,القبة,0923573930
20250028,شامل,مهنا,2006-04-19,كلية الصيدلة,بنغازي,0914324420
20250029,ودود,حنبولي,2004-06-09,كلية الزراعة,القبة,0926451331
20250030,سلمان,مهنا,2003-02-08,كلية الزراعة,البيضاء,0925187696
20250031,تاج,آل حسين,2001-12-07,كلية الصيدلة,البيضاء,0929683787
20250032,غزير,آل حسين,2003-09-06,كلية الصيدلة,المرج,0912845372
20250033,عدنان,آل بن لافي,2008-03-11,كلية الهندسة,طرابلس,0917977160
20250034,جميلة,آل حسين,2007-06-12,كلية التربية,طرابلس,0918252111
20250035,سبأ,آل الشيخ,1999-06-30,كلية الزراعة,المرج,0917749391
20250036,هناء,المهيدب,2005-05-29,كلية الزراعة,القبة,0917898404
20250037,وائل,المغاولة,2006-04-22,كلية التربية,البيضاء,0915677635
20250038,سراج الدّين,المهنا,2000-08-15,كلية الصيدلة,المرج,0926311220
20250039,سديم,آل قصير,2006-01-16,كلية الصيدلة,طرابلس,0928258229
20250040,ذريع,شربتلي,2003-11-28,كلية الزراعة,المرج,0922526374
20250041,زهرة,آل سلطان,2000-07-22,كلية الصيدلة,المرج,0925253754
20250042,بلقيس,فصيل,2002-07-24,كلية التربية,المرج,0925439636
20250043,مرشد,الحكير,2003-01-15,كلية الصيدلة,طرابلس,0918692112
20250044,عبد القادر,أبو داوود,2000-09-05,كلية التربية,المرج,0925015080
20250045,قاسم,آل علي,2006-09-30,كلية الصيدلة,القبة,0912445013
20250046,مرتقي,آل معيض,2006-11-07,كلية الزراعة,البيضاء,0914835992
20250047,زاهي,آل محمد بن علي بن جماز,2004-09-28,كلية الصيدلة,البيضاء,0912703551
20250048,منيب,آل حسين,2006-09-18,كلية الزراعة,المرج,0928335586
20250049,شهد,آل عطفة,2006-01-26,كلية الهندسة,طرابلس,0915663020
20250050,جسور,آل صفوان,2004-05-11,كلية الزراعة,المرج,0913105200
20250051,مهيب,آل عطفة,2003-09-13,كلية الصيدلة,المرج,0923880172
20250052,تامر,الدباغ,2004-06-21,كلية الصيدلة,القبة,0918595099
20250053,عزّت,آل صفوان,2002-05-25,كلية التربية,طرابلس,0911483968
20250054,غالب,الشايع,2007-06-03,كلية الزراعة,بنغازي,0911643527
20250055,زهدي,الدباغ,2000-07-01,كلية الهندسة,بنغازي,0921355839
20250056,ليان,آل الشيخ,2001-06-19,كلية الصيدلة,المرج,0925334593
20250057,يمام,آل مقطة,2004-03-09,كلية الصيدلة,البيضاء,0928548092
20250058,مُعتز,المهنا,2005-01-12,كلية الصيدلة,المرج,0929953786
20250059,مسلم,آل الشيخ,2002-05-14,كلية الزراعة,القبة,0912008125
20250060,شهير,أبو داوود,2004-11-21,كلية الهندسة,القبة,0919528708
20250061,سجا,المهيدب,2003-10-31,كلية الصيدلة,القبة,0912489005
20250062,مريم,المهنا,2001-08-22,كلية التربية,البيضاء,0928479926
